"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,27.5,12.1,1013.4,10,12.4,15.9,25.1,33.1,21.9,0,NA,0,480
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,21.8,7.8,1018.1,10,9.8,18.1,24.1,28.9,16,0,NA,0,549
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,32.2,21.1,1015.2,10,11.3,22,29.9,41,24.1,0,NA,0,505
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,35.9,31,1020.5,8.8,8.5,17.1,22,42.1,28,0.01,NA,0,521
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48,25,0,NA,0,513
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,39.9,37.6,1026.2,6.8,5.3,11.1,NA,46,28,0,NA,1,487
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,43.5,30.4,1024,9.9,14.7,21,32.1,48,36,0,NA,0,555
"8",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38,31.4,1030.6,10,5.4,11.1,NA,44.1,32,0,NA,0,660
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,42.7,41.5,1022.6,7.1,7.9,13,20,46.4,39.2,0.17,NA,0,475
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,47.2,47.1,1017.5,1.3,8.2,15.9,21,51.8,44.6,0,NA,1,542
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,42.3,38.3,1023.1,9.5,8,15,NA,48.9,39,0.24,NA,0,516
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,41.6,40,1018.3,7,8.8,21,27,45,39.2,0.35,NA,0,578
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,39.4,34.6,1014.2,8.6,8.6,14,20,41,37,0.47,NA,1,491
"14",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,28.1,16.6,1023.2,7.5,15,24.1,32.1,39.9,15.1,0.01,NA,1,561
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,35.9,26.6,1026.4,9.2,15.3,24.1,32.1,46.9,16,0,NA,0,484
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,26.3,18.1,1011.1,6.5,10.8,20,26,32,19.9,0.14,NA,1,544
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,16.2,-1.1,1018.6,10,15.6,21,28.9,21.9,12.9,0.01,NA,0,545
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,14.3,-1.9,1018.7,10,15.5,22.9,29.9,19.9,10,0,NA,0,554
"19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,19,3.3,1023.1,10,13.6,21,32.1,26.1,14,0,NA,0,674
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,24.4,16.6,1016.4,8.6,10.5,15.9,19,28,21.9,0,NA,0,558
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,21.7,4.7,1025.6,10,16.3,22.9,35,28.9,17.1,0,NA,0,429
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,27.3,10.8,1028.9,8.8,7.4,14,20,32,21.9,0,NA,0,507
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,35.4,34.9,1019,2.6,4.9,9.9,NA,37.4,33.1,0.08,NA,1,542
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,45.1,44,1013.9,4.4,12.4,19,25.1,48.2,37,0.03,NA,1,497
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.5,40.3,995.5,5.9,23.1,28,39,54,39,0.02,NA,1,592
"26",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,33.1,15.5,1007,10,18.2,27,38.1,39.9,30,0.23,NA,0,574
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,27.6,10.4,1020.9,10,12.5,19,26,35.1,21.9,0,NA,0,534
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.7,24.5,1012,8.2,9.8,17.1,22.9,36,25,0.01,NA,0,445
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,29,16.9,1008.3,8.8,15.5,20,28,30.9,26.6,0,NA,0,553
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,28.7,16.6,1014.6,7.8,8.2,14,18.1,32,27,0,NA,0,566
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,34.8,30.4,1014.9,9,6.1,13,17.1,39.2,32,0.02,NA,0,566
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,29.4,13.4,1028.7,10,10.2,14,19,35.1,25,0,NA,0,526
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,34.3,28.5,1026,7.3,16.3,36.9,51.1,37.9,26.1,0,NA,0,703
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,29.2,25.8,997.4,1.2,35.3,49,63.9,37.4,23,1.64,NA,1,403
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,24.7,14.7,1024.4,8.9,16.4,25.1,36.9,34,21,0.06,NA,0,400
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,36.4,32,1022.1,7.6,9.8,21,28.9,48,24.1,0,NA,0,475
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,41.4,36.6,1006.1,6.5,11.9,18.1,27,45,36,0.36,NA,1,498
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,36.1,25.2,1010.6,10,7.7,15,NA,41,26.1,0,NA,0,570
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,36.6,29.3,1010.5,8.4,8.9,15.9,21,43,28,0.11,NA,0,631
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,38.6,33.2,1017,9.8,6,11.1,NA,46.9,28,0,NA,0,604
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,39.2,35.8,1012.3,9.2,8.6,17.1,21,44.1,34,0,NA,1,449
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,30.9,25.6,998.1,4.2,23.6,34,49.9,39,23,0.01,NA,1,447
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,36.7,25.4,1019,10,10.6,15.9,26,46,30,NA,NA,0,477
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,38.7,28.9,1004.5,8.5,16.9,27,35.9,46.9,30.9,0.65,NA,0,510
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,30.6,14.1,1009.7,10,17.3,21,29.9,36,28,0.03,NA,0,498
